Name,Country,Gender,Distance,Time,Date
Gabriela Debues-Stafford,Canada,Female,800,01:58.70,29/5/2021
Gabriela Debues-Stafford,Canada,Female,1000,02:42.23,2/8/2020
Gabriela Debues-Stafford,Canada,Female,1500,03:56.12,5/10/2019
Gabriela Debues-Stafford,Canada,Female,1600,04:17.87,12/7/2019
Gabriela Debues-Stafford,Canada,Female,3000,08:38.51,6/2/2021
Gabriela Debues-Stafford,Canada,Female,5000,14:44.12,6/9/2019
Elinor Purrier St. Pierre,USA,Female,800,01:59.99,15/5/2021
Elinor Purrier St. Pierre,USA,Female,1500,03:58.03,21/6/2021
Elinor Purrier St. Pierre,USA,Female,1600,04:30.30,18/8/2019
Elinor Purrier St. Pierre,USA,Female,3000,08:46.43,16/7/2018
Elinor Purrier St. Pierre,USA,Female,5000,14:58.17,5/10/2019
Linden Hall,Australia,Female,800,01:59.22,27/3/2021
Linden Hall,Australia,Female,1000,02:35.90,2/3/2021
Linden Hall,Australia,Female,1500,03:59.67,1/4/2021
Linden Hall,Australia,Female,1600,04:21.40,22/7/2018
Linden Hall,Australia,Female,3000,08:51.20,22/12/2020
Linden Hall,Australia,Female,5000,15:18.77,20/1/2018
Winnie Nanyondo,Uganda,Female,800,01:58.63,18/7/2014
Winnie Nanyondo,Uganda,Female,1000,02:36.13,13/7/2018
Winnie Nanyondo,Uganda,Female,1500,03:59.56,16/6/2019
Winnie Nanyondo,Uganda,Female,1600,04:18.65,12/7/2019
Winnie Nanyondo,Uganda,Female,3000,09:27.25,16/3/2019
Winnie Nanyondo,Uganda,Female,5000,15:57.16,7/10/2020
Nozomi Tanaka,Japan,Female,800,02:03.19,3/5/2021
Nozomi Tanaka,Japan,Female,1500,03:59.19,4/8/2021
Nozomi Tanaka,Japan,Female,2000,05:53.47,9/9/2017
Nozomi Tanaka,Japan,Female,3000,08:40.84,10/7/2021
Nozomi Tanaka,Japan,Female,5000,14:59.93,30/7/2021
Jessica Hull,Australia,Female,800,02:03.78,19/7/2019
Jessica Hull,Australia,Female,1500,03:58.81,4/8/2021
Jessica Hull,Australia,Female,1600,04:24.93,18/8/2019
