,Pos,Name,Gun Time,Net Time,Representing,Category (Pos),Overall Pos,Unnamed: 7,Links,Speed_5km,Speed_10km,Speed_15km,Speed_20km,Speed_25km,Speed_30km,Speed_35km,Speed_40km,COV
0,17,Rui Yong Soh (#1001),02:45:53,02:45:51,SGP  |,20-29  (7),24,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1001?page=1 ,217.0,225.0,225.2,221.8,233.4,236.2,253.6,258.8,0.06048
1,18,Iskandar Mohamed (#75),02:50:57,02:50:55,SGP  |,30-39  (11),27,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/75?page=1 ,237.8,240.8,242.2,242.2,245.2,242.6,246.8,250.2,0.01471
2,19,Daniel Leow (#1153),02:51:50,02:51:47,SGP  |,20-29  (8),28,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1153?page=1 ,237.4,240.8,242.4,242.0,245.2,242.6,246.8,254.8,0.01988
3,21,Melvin Wong (#73),02:54:52,02:54:51,SGP  |,30-39  (12),31,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/73?page=1 ,241.2,245.0,246.0,242.8,242.2,247.0,258.0,263.2,0.03028
4,23,Burton He (#1079),02:55:01,02:54:57,SGP  |,20-29  (10),34,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1079?page=1 ,240.8,244.8,246.0,243.0,242.2,247.0,258.8,266.0,0.03377
5,28,ghim khoon ho (#78),02:58:49,02:58:47,SGP  |,30-39  (15),40,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/78?page=1 ,244.2,253.4,251.2,248.0,269.4,260.4,253.4,255.8,0.02848
6,31,Kok Soon Chua (#1162),03:02:49,03:02:45,SGP  |,30-39  (17),44,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1162?page=1 ,246.6,249.6,247.0,245.8,257.4,272.0,277.6,288.0,0.05917
7,35,Andy Neo (#1068),03:05:03,03:04:58,SGP  |,40-49  (6),48,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1068?page=1 ,256.6,256.6,256.0,255.6,257.2,260.6,270.6,287.6,0.04009
8,36,Foo Xiao Wen Giebert (#77),03:05:43,03:05:41,SGP  |,20-29  (11),49,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/77?page=1 ,239.0,240.0,242.2,246.8,259.0,266.8,286.4,320.8,0.1018
9,38,Devathas Satianathan (#1005),03:07:49,03:07:44,SGP  |,30-39  (20),52,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1005?page=1 ,229.0,231.2,234.2,242.2,262.2,288.6,337.0,305.0,0.14085
10,40,Evan Chee (#74),03:08:25,03:08:23,SGP  |,30-39  (21),54,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/74?page=1 ,245.0,267.8,256.2,260.0,280.8,273.4,268.6,288.4,0.04838
11,41,Wenlong Ning (#1226),03:08:53,03:08:48,SGP  |,40-49  (9),55,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1226?page=1 ,256.6,257.0,259.2,257.2,267.2,271.6,282.6,293.6,0.04804
12,42,Wei Bin Tan (#1119),03:09:11,03:09:07,SGP  |,20-29  (12),56,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1119?page=1 ,245.8,252.6,247.6,248.4,255.0,259.0,314.0,335.4,0.12025
13,43,Ansgar Cheng (#80),03:10:12,03:10:11,SGP  |,50-59  (1),58,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/80?page=1 ,248.8,261.2,256.8,257.8,263.6,284.8,296.0,296.2,0.06491
14,46,Joshua Li (#1010),03:10:58,03:10:53,SGP  |,30-39  (23),61,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1010?page=1 ,246.4,251.8,252.0,253.4,264.2,269.4,289.8,326.2,0.0935
15,48,Wilson Goh (#1113),03:12:25,03:12:22,SGP  |,30-39  (25),63,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/1113?page=1 ,249.2,260.4,260.2,270.8,289.8,282.2,284.8,290.2,0.05322
16,50,Andrew Yeo (#2295),03:13:46,03:12:41,SGP  |,20-29  (13),66,,https://www.sportsplits.com/races/singapore-marathon-2019/events/1/results/individuals/2295?page=1 ,247.0,255.2,258.6,260.2,280.0,269.8,314.4,309.2,0.08583
